epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,train/size_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,acc/color,acc/size,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,val/size_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2609,84.8553,1.20312,231.897,22.5844,8.62675,0,0,0,0,0,0,0,0,0,0,0,74.3439,1.04482,8.9125,7.45263,4.69258,0.0876729,3.08949e-05,3.08949e-05
2,106.514,67.932,0.96523,7.79788,5.49321,3.15409,0.00079,0.00063,0.00041,8e-05,0.00079,0.00063,0.00041,8e-05,0.41667,0.41667,0,69.2601,0.94734,8.04766,6.92398,4.52305,0.0752042,6.21436e-05,6.21436e-05
3,141.276,59.0683,0.78622,6.54237,4.4798,2.60668,0.01917,0.16883,0.0175,0.00874,0.01917,0.16883,0.0175,0.00874,0.49929,0.49929,0,54.7461,0.63206,11.3641,5.09891,3.20179,0.0627354,9.33874e-05,9.33874e-05
4,178.284,52.9299,0.67532,5.77201,4.06356,2.33613,0.06061,0.10663,0.02997,0.01616,0.06061,0.10663,0.02997,0.01616,0.55058,0.55058,0,46.7801,0.47288,11.5039,3.77192,2.2576,0.0502667,0.000124623,0.000124623
5,214.963,48.3651,0.58637,5.35683,3.83834,2.17341,0.08238,0.1324,0.04266,0.0266,0.08238,0.1324,0.04266,0.0266,0.55459,0.55459,0,42.7743,0.40866,5.82148,3.49347,1.96258,0.0377979,0.000155845,0.000155845
6,251.07,44.5799,0.52184,5.05596,3.62632,2.02623,0.10524,0.15365,0.06137,0.04189,0.10524,0.15365,0.06137,0.04189,0.54954,0.54954,0,37.3788,0.31772,4.55352,3.10446,1.69431,0.0253291,0.000187052,0.000187052
7,287.739,41.3654,0.46895,4.78221,3.4235,1.87664,0.13606,0.16063,0.07749,0.05658,0.13606,0.16063,0.07749,0.05658,0.54617,0.54617,0,34.5049,0.27772,4.22148,2.91554,1.53985,0.0128603,0.000218238,0.000218238
8,324.403,38.7645,0.42528,4.57931,3.29024,1.75685,0.32268,0.1826,0.098,0.07397,0.32268,0.1826,0.098,0.07397,0.55138,0.55138,0,31.9795,0.24367,3.89531,2.80309,1.4367,0.000391446,0.000249401,0.000249401
9,361.993,36.7114,0.39219,4.42478,3.19265,1.67777,0.32241,0.19606,0.13023,0.10386,0.32241,0.19606,0.13023,0.10386,0.53977,0.53977,0,29.9786,0.21614,3.74316,2.72655,1.32859,0.000249681,0.000249681,0.000249681
10,398.008,35.2536,0.36817,4.28749,3.09314,1.59642,0.32771,0.20258,0.14398,0.11754,0.32771,0.20258,0.14398,0.11754,0.54379,0.54379,0,28.53,0.1993,3.62891,2.67366,1.24629,0.000249596,0.000249596,0.000249596
11,434.676,33.9639,0.35066,4.18349,3.02966,1.54379,0.36343,0.21631,0.14981,0.12309,0.36343,0.21631,0.14981,0.12309,0.54456,0.54456,0,28.2431,0.1887,3.56445,2.64031,1.19948,0.000249502,0.000249502,0.000249502
12,469.681,32.6752,0.32735,4.07735,2.96266,1.47932,0.40383,0.23693,0.18119,0.15085,0.40383,0.23693,0.18119,0.15085,0.54028,0.54028,0,26.5713,0.1745,3.44805,2.59509,1.13244,0.000249397,0.000249397,0.000249397
13,505.09,31.902,0.31719,3.98963,2.90747,1.42103,0.42752,0.25446,0.19164,0.16032,0.42752,0.25446,0.19164,0.16032,0.53667,0.53667,0,26.3696,0.16673,3.37852,2.53435,1.09252,0.000249283,0.000249283,0.000249283
14,542.617,31.1997,0.30894,3.93766,2.87194,1.40136,0.40797,0.26541,0.20769,0.17658,0.40797,0.26541,0.20769,0.17658,0.56594,0.56594,0,25.1763,0.15702,3.33789,2.52349,1.08212,0.000249158,0.000249158,0.000249158
15,579.193,30.2871,0.29332,3.83597,2.81669,1.338,0.41087,0.27898,0.21604,0.18547,0.41087,0.27898,0.21604,0.18547,0.55747,0.55747,0,24.254,0.14463,3.18828,2.4069,0.98109,0.000249024,0.000249024,0.000249024
16,614.754,29.8402,0.28995,3.7812,2.78438,1.32281,0.3656,0.26967,0.2267,0.19403,0.3656,0.26967,0.2267,0.19403,0.55361,0.55361,0,24.3313,0.14685,3.15859,2.40884,0.98308,0.00024888,0.00024888,0.00024888
17,652.789,29.2861,0.27846,3.70407,2.74373,1.27292,0.4056,0.29139,0.24683,0.21382,0.4056,0.29139,0.24683,0.21382,0.59114,0.59114,0,23.438,0.13686,3.05625,2.33197,0.91757,0.000248726,0.000248726,0.000248726
18,690.696,28.6985,0.27089,3.64116,2.70716,1.23682,0.46407,0.31569,0.26088,0.22728,0.46407,0.31569,0.26088,0.22728,0.60019,0.60019,0,23.3767,0.13409,3.0832,2.35164,0.97982,0.000248562,0.000248562,0.000248562
19,726.907,28.2288,0.26289,3.57378,2.63898,1.19981,0.4564,0.31976,0.27078,0.23658,0.4564,0.31976,0.27078,0.23658,0.6048,0.6048,0,22.7234,0.12919,2.95625,2.24098,0.91603,0.000248388,0.000248388,0.000248388
