epoch,time,train/pose_loss,train/kobj_loss,train/cls_loss,train/color_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),color_accuracy,val/pose_loss,val/kobj_loss,val/cls_loss,val/color_loss,lr/pg0,lr/pg1,lr/pg2
1,30.887,10.3234,1.70419,139.502,5.15273,0,0,0,0,0,0,0,0,0,6.63063,1.00328,38.0098,2.6123,0.088125,2.97619e-05,2.97619e-05
2,51.9076,9.14678,1.40712,11.3984,3.23108,0,0,0,0,0,0,0,0,0,6.69761,1.06695,3.37363,2.62549,0.0756562,6.10107e-05,6.10107e-05
3,72.4157,8.49439,1.25131,2.83504,2.1805,0,0,0,0,0,0,0,0,0,6.79514,1.10256,2.34154,3.74414,0.0631875,9.22545e-05,9.22545e-05
4,92.8741,7.89828,1.10162,2.36042,1.24413,0,0,0,0,0,0,0,0,0,6.71413,1.06678,2.54231,5.70898,0.0507187,0.00012349,0.00012349
5,112.728,7.29465,0.96831,2.08488,0.93572,0,0,0,0,0,0,0,0,0,5.9951,0.87924,2.33748,3.76074,0.03825,0.000154713,0.000154713
6,133.348,6.90494,0.88556,1.93265,0.76781,0,0,0,0,0,0,0,0,0,5.45569,0.71082,2.10898,3.38184,0.0257812,0.000185919,0.000185919
7,155.39,6.38619,0.78023,1.70818,0.52612,0,0,0,0,0,0,0,0,0,4.4147,0.52527,1.96954,2.78174,0.0133123,0.000217106,0.000217106
8,175.732,6.05328,0.71944,1.52438,0.49686,0.12534,0.00493,0.02796,0.01791,0.12534,0.00493,0.02796,0.01791,1,3.84289,0.41209,1.63195,1.26831,0.000843507,0.000248269,0.000248269
9,196.461,5.73673,0.65836,1.41737,0.43412,0.33379,0.04937,0.18571,0.16096,0.33379,0.04937,0.18571,0.16096,1,3.26614,0.31297,1.26305,0.175,0.000249681,0.000249681,0.000249681
10,217.289,5.37961,0.6044,1.33412,0.38409,0.38807,0.21524,0.27306,0.24196,0.38807,0.21524,0.27306,0.24196,1,2.99198,0.26112,1.09457,0.08523,0.000249596,0.000249596,0.000249596
11,237.468,5.21359,0.57544,1.32161,0.37932,0.35863,0.23606,0.26812,0.21173,0.35863,0.23606,0.26812,0.21173,1,2.81568,0.22977,1.00678,0.07188,0.000249502,0.000249502,0.000249502
12,258.444,4.92941,0.52995,1.18285,0.30299,0.28559,0.40363,0.28158,0.23837,0.28559,0.40363,0.28158,0.23837,0.9976,2.52952,0.18646,0.93657,0.05779,0.000249397,0.000249397,0.000249397
13,279.339,4.81774,0.51017,1.15299,0.28509,0.29866,0.32807,0.27446,0.24728,0.29866,0.32807,0.27446,0.24728,1,2.48396,0.17779,0.89324,0.03825,0.000249283,0.000249283,0.000249283
